,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
754,65_15,Real,12.668824782410978,16.50195558679972,"[0.09260646964267201, 0.23867992509388614, 0]","[Client id: 65, ( id: 8, corrupt: False ), Client id: 48]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
755,50_8,Real,8.736631734651695,16.50195558679972,"[0.08396844153629941, 1.7565040237212066, 0]","[Client id: 50, ( id: 8, corrupt: False ), Client id: 61]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
756,62_11,Real,8.79820600603766,16.50195558679972,"[0.5661074592531681, 0.2684356530341249, 0]","[Client id: 62, ( id: 8, corrupt: False ), Client id: 50]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
757,10_2,Real,2.6266401842608116,16.50195558679972,"[2.0011388500047036, 2.2791575214603346, 0]","[Client id: 10, ( id: 8, corrupt: False ), Client id: 41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
758,88_10,Real,11.488174357364864,16.50195558679972,"[0.4772758230203752, 0.0028203993768314297, 0]","[Client id: 88, ( id: 8, corrupt: False ), Client id: 33]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
759,22_8,Real,2.925899747817516,16.50195558679972,"[0.06369793225308779, 0.1617739490566565, 0]","[Client id: 22, ( id: 8, corrupt: False ), Client id: 75]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
760,30_15,Real,15.621481683309158,16.527875760159496,"[0.14837457494890008, 0.008495193332645179, 0]","[Client id: 30, ( id: 9, corrupt: False ), Client id: 52]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
761,89_13,Real,13.773813778451311,16.527875760159496,"[0.2337107388593361, 1.5633729344316911, 0]","[Client id: 89, ( id: 9, corrupt: False ), Client id: 13]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
762,18_6,Real,3.2111503314167953,16.527875760159496,"[1.138047393422869, 0.13509961113238708, 0]","[Client id: 18, ( id: 9, corrupt: False ), Client id: 51]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
763,90_4,Real,3.148033261064111,16.527875760159496,"[0.2065796502747636, 0.3945559276203764, 0]","[Client id: 90, ( id: 9, corrupt: False ), Client id: 46]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
