,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
1488,88_17,Real,14.10788492931702,"[0.5946400580743598, 0.8430690817597128, 0]","[Client id: 88, ( id: 2, corrupt: False ), Client id: 18]"
1489,31_22,Real,14.114534143186019,"[0.4051113870396242, 0.056158005639392626, 0]","[Client id: 31, ( id: 8, corrupt: False ), Client id: 42]"
1490,18_20,Real,14.115365261805128,"[0.44970099307834444, 2.4050465541565638, 0]","[Client id: 18, ( id: 3, corrupt: False ), Client id: 41]"
1491,52_16,Real,14.131446798015471,"[1.5128660131406066, 0.2503968422058758, 0]","[Client id: 52, ( id: 7, corrupt: False ), Client id: 45]"
1492,89_14,Real,14.134480749760826,"[0.36066697130951425, 0.5218785223928426, 0]","[Client id: 89, ( id: 7, corrupt: False ), Client id: 29]"
1493,8_14,Real,14.15048194004391,"[0.5450986245855143, 0.4108308252560489, 0]","[Client id: 8, ( id: 9, corrupt: False ), Client id: 80]"
1494,99_24,Real,14.156291303280526,"[0.724284364694764, 4.005750253600547, 0]","[Client id: 99, ( id: 8, corrupt: False ), Client id: 47]"
1495,45_20,Real,14.157746264128496,"[0.16057682018572655, 2.028807822946819, 0]","[Client id: 45, ( id: 1, corrupt: False ), Client id: 28]"
1496,76_16,Real,14.1727802435226,"[0.9981705015224608, 0.9090327059888502, 0]","[Client id: 76, ( id: 2, corrupt: False ), Client id: 93]"
1497,31_23,Real,14.17433907312748,"[0.05980492994146291, 0.758189033319544, 0]","[Client id: 31, ( id: 4, corrupt: False ), Client id: 94]"
1498,52_17,Real,14.178234116403768,"[0.04678731838829708, 0.04538358378647572, 0]","[Client id: 52, ( id: 2, corrupt: False ), Client id: 36]"
1499,35_18,Real,14.178775667856778,"[2.6460607935069773, 0.03605463154255727, 0]","[Client id: 35, ( id: 6, corrupt: False ), Client id: 59]"
1500,1_14,Real,14.182950035054603,"[0.7396447783219732, 0.39823120931796757, 0]","[Client id: 1, ( id: 6, corrupt: False ), Client id: 24]"
1501,64_15,Real,14.185941871814357,"[1.2972384116092637, 0.9716386022569284, 0]","[Client id: 64, ( id: 2, corrupt: False ), Client id: 76]"
1502,96_16,Real,14.186669896511287,"[1.051952543696542, 0.030514375426177996, 0]","[Client id: 96, ( id: 7, corrupt: False ), Client id: 49]"
